Refs,Datasheet,Footprint,Value
C1,~,Capacitor_SMD:C_0402_1005Metric,10u
C10,~,Capacitor_SMD:C_0402_1005Metric,10n
C11,~,Capacitor_SMD:C_0402_1005Metric,10n
C12,~,Capacitor_SMD:C_0402_1005Metric,10n
C13,~,Capacitor_SMD:C_0402_1005Metric,0.1u
C14,~,Capacitor_SMD:C_0402_1005Metric,12p
C15,~,Capacitor_SMD:C_0402_1005Metric,12p
C16,~,Capacitor_SMD:C_0402_1005Metric,33n
C17,~,Capacitor_SMD:C_0402_1005Metric,10p
C18,~,Capacitor_SMD:C_0402_1005Metric,10p
C19,~,Capacitor_SMD:C_0402_1005Metric,1p5
C2,~,Capacitor_SMD:C_0402_1005Metric,100n
C20,~,Capacitor_SMD:C_0402_1005Metric,100n
C21,~,Capacitor_SMD:C_0402_1005Metric,1p
C22,~,Capacitor_SMD:C_0402_1005Metric,2n2
C23,~,Capacitor_SMD:C_0402_1005Metric,4p7
C25,~,Capacitor_SMD:C_0402_1005Metric,10n
C26,~,Capacitor_SMD:C_0402_1005Metric,22u
C27,~,Capacitor_SMD:C_0805_2012Metric,22u
C29,~,Capacitor_SMD:C_0402_1005Metric,10n
C3,~,Capacitor_SMD:C_0402_1005Metric,100n
C30,~,Capacitor_SMD:C_0402_1005Metric,0.1u
C32,~,Capacitor_SMD:C_0402_1005Metric,100n
C33,~,Capacitor_SMD:C_0402_1005Metric,100n
C34,~,Capacitor_SMD:C_0402_1005Metric,100n
C35,~,Capacitor_SMD:C_0402_1005Metric,100n
C36,~,Capacitor_SMD:C_0402_1005Metric,100n
C37,~,Capacitor_SMD:C_0402_1005Metric,100n
C38,~,Capacitor_SMD:C_0402_1005Metric,100n
C39,~,Capacitor_SMD:C_0402_1005Metric,100n
C4,~,Capacitor_SMD:C_0402_1005Metric,100n
C40,~,Capacitor_SMD:C_0402_1005Metric,100n
C41,~,Capacitor_SMD:C_0402_1005Metric,100n
C42,~,Capacitor_SMD:C_0402_1005Metric,100n
C43,~,Capacitor_SMD:C_0402_1005Metric,100n
C44,~,Capacitor_SMD:C_0402_1005Metric,100n
C45,~,Capacitor_SMD:C_0402_1005Metric,100n
C46,~,Capacitor_SMD:C_0402_1005Metric,100n
C5,~,Capacitor_SMD:C_0402_1005Metric,100n
C6,~,Capacitor_SMD:C_0402_1005Metric,100n
C7,~,Capacitor_SMD:C_0402_1005Metric,1u
C8,~,Capacitor_SMD:C_0402_1005Metric,1u
C9,~,Capacitor_SMD:C_0402_1005Metric,10u
D1,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B
D10,~,LED_THT:LED_D5.0mm_IRGrey,D_Photo
D11,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B
D12,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B
D13,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B
D14,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B
D15,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B
D16,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B
D17,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B
D18,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B
D19,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B
D2,~,LED_SMD:LED_0402_1005Metric,LED
D20,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B
D21,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B
D22,~,LED_SMD:LED_0402_1005Metric,LED
D23,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B
D24,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B
D25,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B
D26,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B
D27,~,LED_SMD:LED_0402_1005Metric,LED
D28,~,LED_SMD:LED_0402_1005Metric,LED
D3,http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf,LED_THT:LED_D5.0mm_IRGrey,LD271
D4,~,LED_THT:LED_D5.0mm_IRGrey,D_Photo
D5,~,Diode_SMD:D_0805_2012Metric,D_Schottky
D6,~,Diode_SMD:D_0805_2012Metric,D_Schottky
D7,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B
D8,~,LED_SMD:LED_0402_1005Metric,LED
D9,http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf,LED_THT:LED_D5.0mm_IRGrey,LD271
FB1,~,Inductor_SMD:L_0402_1005Metric,120R
J1, ~,Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,SMA
J2,~,Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical,ARM 10pin
J3,~,Connector_USB:USB_Micro-B_Molex_47346-0001,USB_B_Micro
J4,~,Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical,Conn_01x02_Male
J5,~,Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical,Conn_01x02_Male
J6,~,Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical,Conn_01x02_Male
JP1,~,Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical,Jumper_2_Open
JP2,~,Connector_PinHeader_1.27mm:PinHeader_1x03_P1.27mm_Vertical,Jumper_3_Open
L1,~,Inductor_SMD:L_0402_1005Metric,3n9
L2,~,Inductor_SMD:L_0402_1005Metric,8n2
L3,~,Inductor_SMD:L_0402_1005Metric,2n7
R1,~,Resistor_SMD:R_0402_1005Metric,1M
R10,~,Resistor_SMD:R_0402_1005Metric,10k
R11,~,Resistor_SMD:R_0402_1005Metric,10k
R12,~,Resistor_SMD:R_0402_1005Metric,1k
R13,~,Resistor_SMD:R_0402_1005Metric,1k
R14,~,Resistor_SMD:R_0402_1005Metric,1k
R15,~,Resistor_SMD:R_0402_1005Metric,1k
R2,~,Resistor_SMD:R_0402_1005Metric,22k
R3,~,Resistor_SMD:R_0402_1005Metric,120
R4,~,Resistor_SMD:R_0402_1005Metric,100
R5,~,Resistor_SMD:R_0402_1005Metric,10k
R6,~,Resistor_SMD:R_0402_1005Metric,10k
R7,~,Resistor_SMD:R_0402_1005Metric,1k
R8,~,Resistor_SMD:R_0402_1005Metric,1k
R9,~,Resistor_SMD:R_0402_1005Metric,100
RV1,~,Potentiometer_THT:Potentiometer_Bourns_3266X_Horizontal,R_POT 10k
RV2,~,Potentiometer_THT:Potentiometer_Bourns_3266X_Horizontal,R_POT 10k
SW1,~,Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK,SW_Push
U$1,,ExtraStuff:M.2-B-KEY,M.2-B-KEY
U1,http://www.nordicsemi.com/eng/content/download/2726/34069/file/nRF24L01P_Product_Specification_1_0.pdf,Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,nRF24L01P
U2,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00161566.pdf,Package_QFP:LQFP-48_7x7mm_P0.5mm,STM32F103CBT6
U3,http://www2.st.com/resource/en/datasheet/CD00050750.pdf,Package_TO_SOT_SMD:SOT-23-6,USBLC6-2SC6
U4,http://www.ti.com/lit/ds/symlink/lm393.pdf,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,LM393
U5,http://www.advanced-monolithic.com/pdf/ds1117.pdf,Package_TO_SOT_SMD:SOT-223-3_TabPin2,AMS1117-5.0
U6,http://www.advanced-monolithic.com/pdf/ds1117.pdf,Package_TO_SOT_SMD:SOT-223-3_TabPin2,AMS1117-3.3
U7,http://www2.st.com/resource/en/datasheet/CD00050750.pdf,Package_TO_SOT_SMD:SOT-23-6,USBLC6-2SC6
U8,http://www2.st.com/resource/en/datasheet/CD00050750.pdf,Package_TO_SOT_SMD:SOT-23-6,USBLC6-2SC6
U9,http://www.nxp.com/documents/data_sheet/TJA1051.pdf,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,TJA1051T-3
Y1,~,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,16MHz
Y2,~,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,16MHz
